"" "loan_id" "amount" "duration" "payments" "status" "loan_year" "loan_month" "frequency" "account_days" "n_clients" "gender" "age" "has_card" "inhabitants" "municipalities_inhabitants_under_499" "municipalities_inhabitants_500_1999" "municipalities_inhabitants_2000_9999" "municipalities_inhabitants_over_10000" "cities" "ratio_urban_inhabitants" "average_salary" "unemploymant_rate_95" "unemploymant_rate_96" "enterpreneurs_per_1000" "commited_crimes_95" "commited_crimes_96" "n_operation" "n_credit" "n_withdrawal" "ratio_credit" "ratio_withdrawal" "n_collect_bank" "n_withdraw_card" "n_credit_cash" "n_interest" "n_remittance_bank" "n_withdraw_cash" "ratio_collect_bank" "ratio_withdraw_card" "ratio_credit_cash" "ratio_interest" "ratio_remittance_bank" "ratio_withdraw_cash" "amount_min" "amount_max" "amount_mean" "amount_std" "balance_min" "balance_max" "balance_mean" "balance_std" "n_sanctions"
"loan_id" 1 -0.0394890938465096 -0.0161034332018432 -0.0489279380189827 0.121916935003015 -0.0776997441940016 0.0981379041149741 -0.0426985179870768 -0.0166655123246412 0.0603607058043413 0.14260817856403 -0.117845254515309 0.0655772678164751 0.0346349490792704 -0.00816112663888912 0.00682863579139184 0.00414723377867124 0.0187004212800559 -0.0176317972859056 0.0589912576966011 0.0429198104711286 -0.00969255302060765 -0.0162373506161393 0.0160756101308113 0.0278472202959398 0.0266010311130661 0.0775099376630158 0.201453301585448 0.00927971423459427 0.0912909715370636 -0.091290971537083 0.00144484865876951 0.00814313037035134 0.025862997020247 0.26128585528949 -0.00425733455188948 0.0163116868665987 0.000198124004001466 0.0521525117042025 -0.0128212834463187 0.183464855165126 -0.0120324451524612 -0.10047860011632 -0.0340318044093053 0.0440840181874953 -0.0315524467675922 0.0166529754799612 0.101696458233903 0.0321156358147908 0.0370194662066579 0.00345055329566669 0.0202424924543909
"amount" -0.0394890938465096 1 0.593209723820122 0.666213184846528 -0.12823678040179 0.0972795599150748 0.033432009807179 -0.160592869175355 0.0736086986289649 0.0597146062436825 0.0502962594393902 -0.0469089439401793 0.00959045107136028 -0.00660835321003303 0.0631764294598594 0.0861578083280361 -0.00908989157116464 -0.014764156277544 -0.0230234516840537 -0.0501114414170339 -0.00440114370697648 -0.0040336950520841 0.0040347297229991 0.00501745946353201 -0.00639214041725559 -0.00768028728030266 0.0138845949854949 0.0166193979507823 0.0096616261656196 -0.038180367351232 0.038180367351227 0.0431019663805897 -0.00497823216927462 0.00648288802528967 -0.0382609583849233 -0.119979351956655 0.108817219992331 0.0459814451984966 0.0829652121420757 -0.0362908305687645 -0.0556502931587312 -0.130427532170417 0.15940673081025 -0.214465512118486 0.246625825347272 -0.0442924066526784 0.243582739254744 -0.127031230704939 0.233355635204097 0.124375609704883 0.226052196656094 0.0568841031245982
"duration" -0.0161034332018432 0.593209723820122 1 -0.0961126483647247 -0.00353724815650021 0.169814195124185 -0.00049964049461109 -0.0280103400192572 0.0581839219646264 0.0516905104081205 0.100832748628639 -0.00786910285475861 0.00163146544121526 -0.0746068908494968 0.0630879899158026 0.0600945496831568 0.0124161187465183 -0.00663527024700374 -0.0166769657540862 -0.0665843579445652 -0.0743908702656652 0.0238661950300707 0.025955256487226 -0.0477798052463786 -0.0792675098396335 -0.0795155239597837 0.0174722913900509 0.0113552314849381 0.0160857793033256 -0.0685613961085759 0.0685613961085694 -0.0387229851474867 0.0340149510166842 0.0329181633416162 0.00307618188301798 -0.0429392647139268 0.0556895075195245 -0.0129338283907799 0.0624641145380985 -0.0429875917603362 -0.0259146341058429 -0.0363184273039476 0.110339390077814 0.0498520832170607 -0.0799882362682151 -0.103261513702785 -0.0501566038436545 -0.114239337823474 -0.0360180869937252 -0.0381944136015983 -0.0469043702304097 0.0213494567501832
"payments" -0.0489279380189827 0.666213184846528 -0.0961126483647247 1 -0.168435737243089 -0.0265436449459127 0.0186814668003228 -0.159833387725568 0.0178906763627881 0.052673229909102 -0.0206968675929613 -0.0351595027111335 0.0203091713454721 0.0138454496191873 0.0457095466184631 0.072741449166323 0.0148244424169129 0.0324683003315103 0.036774353655955 -0.0352004646099344 0.0158149083336392 -0.0105589836380052 -0.00341583104550225 0.000449955687620727 0.0157329813520788 0.0155680160293544 0.00740966379937239 -0.00834848947629899 0.0122308388139391 0.000485288413596631 -0.000485288413600253 0.086811512259967 -0.0306528253872491 -0.0324403065711499 -0.0572149222444681 -0.0882308960155645 0.0882834769193 0.0588991669220954 0.0273977580525825 0.00284707790270069 -0.0751115653575614 -0.103285499588838 0.0924187153638308 -0.27819559253458 0.358672364175412 0.0302219383326803 0.318252431795131 -0.0508137497013374 0.297737268861075 0.176370637169003 0.293776802097364 0.0381908915453428
"status" 0.121916935003015 -0.12823678040179 -0.00353724815650021 -0.168435737243089 1 0.0243359688372948 0.132266457814596 0.0763360894014307 0.0787916362799497 0.219899748566771 0.0224871423498344 -0.0268150527556187 0.0752351988469193 -0.00789050318194953 0.0742960144844437 0.0353893119256664 0.0299733989970279 0.040205788633886 0.0824988589249221 -0.0119793217789853 0.0131874126706846 -0.0091396422162353 -0.0270564687691475 0.0363889133346653 -0.0118059572126391 -0.009724733791639 0.0822504625945727 -0.0935977864410596 0.136148063210207 -0.217681960977361 0.217681960977357 0.126903271122369 0.0493086781819598 -0.112296283680433 -0.0889347637588975 0.185341983154864 0.0458603471184274 0.115594902528259 0.0430681136903827 -0.204533345411502 -0.145612385388847 0.237997873677982 0.0363167635313085 -0.00600582869998995 0.00499592739295632 -0.0564482616948425 0.029759538014925 0.226679245288933 0.0198652850493838 0.193984998452671 -0.0834673716774046 -0.234212658469964
"loan_year" -0.0776997441940016 0.0972795599150748 0.169814195124185 -0.0265436449459127 0.0243359688372948 1 -0.0859938056800595 0.00368578800901767 0.17215862833846 0.0495586080015905 0.0266051508187381 0.057716534721109 0.121256934516038 -0.0121956625183591 0.0402802850199961 -0.0170493689839422 -0.0265905355655329 0.109343124523277 0.0350315055209907 0.0360974275592952 -0.00966031599877762 0.0467739424287909 0.0620408631269122 -0.0420103115538971 -0.0179217878260357 -0.0194752897304974 0.0299189566797253 -0.0480462534534801 0.0552769734644805 -0.0750971777311282 0.0750971777297355 -0.0287561340760456 0.0444341537768204 -0.00534363704985604 -0.0296413505798036 0.0501301612727809 0.0376203416126681 -0.0589241996397509 0.0651508560798435 -0.0116715348771312 -0.0395898464600537 0.0486358990322091 0.0399098236137693 -0.0465300832982969 0.0225339002919039 -0.0498036817724095 0.0288479299805269 -0.0400935073378795 0.0431956927071791 0.0620630316019457 0.0309087719096722 -0.00987197735749556
"loan_month" 0.0981379041149741 0.033432009807179 -0.00049964049461109 0.0186814668003228 0.132266457814596 -0.0859938056800595 1 -0.0972635658793328 -0.0911832923706432 -0.0214709854580188 0.0408111846096877 -0.0631532900001788 0.026718605094301 0.00576780623278158 -0.0628898100839222 0.0702759392107362 0.116111975808121 -0.0499642097791394 0.00952303774903875 -0.0376155648909154 0.0082969716012472 -0.0728010264446543 -0.0553798289794777 0.0646579392390185 -0.00123604698360158 -0.00295092865825556 -0.139366790271606 -0.0929817870095386 -0.127318139816173 0.0717178155220915 -0.0717178155220927 0.0414096464925553 -0.00556693742094489 -0.0659520586967576 -0.0710400572312809 0.00383492756498927 -0.184388488509636 0.0757112975701823 0.0438127152796743 -0.00135505157323198 0.037393085490409 0.0372429178772044 -0.12199047505948 0.00406327793657129 0.0271788135254595 0.0990107623497893 0.0391800636541985 -0.0565147028728749 0.0134681029974913 0.0629397990278514 0.0111476145853482 -0.0904065743048851
"frequency" -0.0426985179870768 -0.160592869175355 -0.0280103400192572 -0.159833387725568 0.0763360894014307 0.00368578800901767 -0.0972635658793328 1 0.085816340777187 0.0643595196814519 0.0555777604741421 0.0308006326365643 -0.0332071060544339 0.00260886398991936 0.103777953553734 0.0228547157554835 0.0757497516992208 -0.0120602925146464 0.0950978485995914 -0.0192548426625953 0.00127870252220334 -0.0557252474525553 -0.0741325618231531 0.0252990031850101 -0.00749288262082217 -0.00505862504754708 0.047796480738556 -0.00471359421542977 0.058704348981905 -0.0641768817011676 0.0641768817011486 -0.0512566249888239 -0.0353445100194718 0.0108403667418862 0.0343190169189025 0.110747010787297 -0.00260746580164265 -0.040777903813356 -0.121268982699106 -0.0248102232347961 -0.01812242270001 0.114473942886078 -0.0210594921406374 0.16168805001795 -0.25071631092544 -0.0914837349011032 -0.236928893375816 0.0508784280512078 -0.168465859498012 -0.162202762567044 -0.230167574100473 -0.0423342085581855
"account_days" -0.0166655123246412 0.0736086986289649 0.0581839219646264 0.0178906763627881 0.0787916362799497 0.17215862833846 -0.0911832923706432 0.085816340777187 1 0.0608192617834136 0.0517474973799996 -0.0699554777231085 0.0771512538815396 0.0264116313912068 0.064939101640727 -0.0379186824850013 -0.0471813211433925 -0.062041642659272 0.0636218523429097 0.0333618209206941 -0.00861626969061601 -0.049265706764003 -0.0486841299899731 0.0573203337276062 0.0298023931600945 0.0297269705030426 0.534254783142976 0.0155915539371866 0.628123593291953 -0.656500382987548 0.656500382987536 -0.0579315898911769 0.0930219243210309 0.0175693444592494 0.0612183875828601 0.345234985136691 0.61944120947404 -0.169331130929146 0.061921281986659 -0.289962881621614 -0.416674176087991 0.306252623267804 0.491813978346304 -0.250776167712017 0.133077258931329 -0.669971488553982 -0.0732396165176975 0.0451524324885901 0.211672333474805 0.0611681340638718 -0.0179869006647721 0.0152052464954793
"n_clients" 0.0603607058043413 0.0597146062436825 0.0516905104081205 0.052673229909102 0.219899748566771 0.0495586080015905 -0.0214709854580188 0.0643595196814519 0.0608192617834136 1 -0.0574608768329969 -0.0485589755845451 0.0195470065435889 0.00413048516153018 -0.0029080031929422 0.0389466449171086 -0.0148558173647211 -0.00355161036018315 0.0262930876697037 -0.0217367400577848 -0.0208841641418148 -0.0358194103290612 -0.0299957382641679 0.0393034066677444 0.00357213210249263 0.00669420774581094 0.0243044391097945 -0.0394869794547843 0.0450916033690532 -0.0730730227812874 0.0730730227812778 0.0749601741338118 -0.0267729888595291 -0.0633455287409664 -0.033680919126385 0.0338901290549346 0.0384475276247627 0.0634629704337137 -0.0318142958288624 -0.0772230347988575 -0.0627882818755342 0.0392433484534488 0.0525833601153963 0.00967938753199545 0.00552027162198922 -0.0401556336852886 -0.00231251457303068 0.0639088308872769 0.00220078068381903 0.0520035010000715 -0.0414945169820474 -0.0851497657407857
