"","account_id","frequency","account_year","account_month","account_day"
"1",576,3,1993,1,1
"2",3818,3,1993,1,1
"3",704,3,1993,1,1
"4",2378,3,1993,1,1
"5",2632,3,1993,1,2
"6",1972,3,1993,1,2
"7",1539,1,1993,1,3
"8",793,3,1993,1,3
"9",2484,3,1993,1,3
"10",1695,3,1993,1,3
"11",1726,3,1993,1,3
"12",2881,3,1993,1,4
"13",2357,3,1993,1,4
"14",2177,3,1993,1,4
"15",485,1,1993,1,4
"16",652,3,1993,1,5
"17",9635,3,1993,1,5
"18",1844,3,1993,1,6
"19",1926,3,1993,1,6
"20",2393,3,1993,1,7
"21",3510,3,1993,1,7
"22",1276,3,1993,1,7
"23",1637,3,1993,1,8
"24",3871,3,1993,1,8
"25",192,3,1993,1,8
"26",764,3,1993,1,8
"27",2087,2,1993,1,8
"28",2122,3,1993,1,8
"29",3592,3,1993,1,8
"30",3487,3,1993,1,8
"31",435,3,1993,1,8
"32",1730,3,1993,1,9
"33",1493,3,1993,1,9
"34",374,3,1993,1,9
"35",2925,3,1993,1,10
"36",866,3,1993,1,10
"37",1628,3,1993,1,10
"38",2379,3,1993,1,10
"39",1979,3,1993,1,11
"40",346,3,1993,1,11
"41",1338,3,1993,1,11
"42",1909,3,1993,1,12
"43",2099,2,1993,1,12
"44",3760,3,1993,1,13
"45",5270,3,1993,1,13
"46",1699,3,1993,1,14
"47",3909,3,1993,1,14
"48",2926,3,1993,1,14
"49",1731,3,1993,1,14
"50",11265,3,1993,1,14
"51",2519,3,1993,1,15
"52",10364,3,1993,1,17
"53",1481,3,1993,1,17
"54",401,3,1993,1,18
"55",4034,3,1993,1,18
"56",2330,3,1993,1,19
"57",1806,3,1993,1,19
"58",3834,3,1993,1,19
"59",1222,3,1993,1,20
"60",212,2,1993,1,20
"61",456,3,1993,1,21
"62",459,3,1993,1,21
"63",772,3,1993,1,21
"64",1019,3,1993,1,21
"65",11295,3,1993,1,21
"66",2970,3,1993,1,22
"67",2676,3,1993,1,22
"68",1536,2,1993,1,22
"69",1179,3,1993,1,23
"70",280,3,1993,1,23
"71",2425,3,1993,1,23
"72",9307,3,1993,1,24
"73",4055,3,1993,1,24
"74",5065,3,1993,1,24
"75",3704,3,1993,1,24
"76",477,3,1993,1,25
"77",5891,3,1993,1,25
"78",1000,3,1993,1,25
"79",1750,3,1993,1,26
"80",2023,3,1993,1,26
"81",6473,3,1993,1,26
"82",1649,3,1993,1,26
"83",2670,3,1993,1,27
"84",1127,3,1993,1,27
"85",163,3,1993,1,27
"86",2566,3,1993,1,27
"87",9,3,1993,1,27
"88",1144,3,1993,1,28
"89",2902,3,1993,1,28
"90",4296,3,1993,1,28
"91",443,3,1993,1,28
"92",3693,3,1993,1,29
"93",2070,3,1993,1,29
"94",1843,3,1993,1,30
"95",2714,3,1993,1,30
"96",4078,3,1993,1,30
"97",1675,3,1993,2,1
"98",5868,3,1993,2,2
