"","account_id","n_operation","n_credit","n_withdrawal","ratio_credit","ratio_withdrawal","n_collect_bank","n_withdraw_card","n_credit_cash","n_interest","n_remittance_bank","n_withdraw_cash","ratio_collect_bank","ratio_withdraw_card","ratio_credit_cash","ratio_interest","ratio_remittance_bank","ratio_withdraw_cash","amount_min","amount_max","amount_mean","amount_std","balance_last","balance_min","balance_max","balance_mean","balance_std","n_sanctions"
"1",1,113,50,63,0.442477876106195,0.557522123893805,21,0,8,21,16,47,0.185840707964602,0,0.0707964601769911,0.185840707964602,0.141592920353982,0.415929203539823,-7500,12600,112.034513274336,2515.46395194412,12674.5,1000,30414.8,17558.7,4168.72938418548,0
"2",2,54,22,32,0.407407407407407,0.592592592592593,10,0,2,10,5,27,0.185185185185185,0,0.037037037037037,0.185185185185185,0.0925925925925926,0.5,-22400,30354,515.568518518519,11895.9984649163,27855.2,1100,67529.6,32590.6240740741,12061.7056818761,0
"3",4,39,17,22,0.435897435897436,0.564102564102564,10,0,1,6,11,11,0.256410256410256,0,0.0256410256410256,0.153846153846154,0.282051282051282,0.282051282051282,-4100,5553,639.561538461538,3108.80814652542,24957.6,800,30623.5,23648.6230769231,5779.86204613468,0
"4",6,124,51,73,0.411290322580645,0.588709677419355,27,0,1,23,23,50,0.217741935483871,0,0.00806451612903226,0.185483870967742,0.185483870967742,0.403225806451613,-11600,6669,270.235483870968,3835.32116826887,33523.8,900,40391.5,30313.2798387097,5582.67604095098,0
"5",7,4,3,1,0.75,0.25,0,0,2,1,0,1,0,0,0.5,0.25,0,0.25,-6600,33975,7076.35,18242.5567640613,28305.4,900,34875,23088.85,15114.7493293802,0
"6",8,85,32,53,0.376470588235294,0.623529411764706,0,0,17,15,21,32,0,0,0.2,0.176470588235294,0.247058823529412,0.376470588235294,-17700,30712,494.348235294118,11378.8984580127,42034.2,900,75952.3,49640.44,11961.3897643149,0
"7",9,245,128,117,0.522448979591837,0.477551020408163,0,0,81,47,0,117,0,0,0.330612244897959,0.191836734693878,0,0.477551020408163,-23500,45691,134.021632653061,4404.96504768113,32835.2,400,78753,27558.1204081633,9954.96273814526,0
"8",10,13,10,3,0.769230769230769,0.230769230769231,0,0,6,4,0,3,0,0,0.461538461538462,0.307692307692308,0,0.230769230769231,-17800,26529,3692.92307692308,12827.3151214608,48008.1,1100,65638.5,35311.8615384615,16648.7150075483,0
"9",11,56,31,25,0.553571428571429,0.446428571428571,15,0,1,15,11,14,0.267857142857143,0,0.0178571428571429,0.267857142857143,0.196428571428571,0.25,-2132,3494,515.841071428571,1995.41114275883,28901.6,300,31304.6,20782.1660714286,7145.8980333482,0
"10",14,4,4,0,1,0,0,0,3,1,0,0,0,0,0.75,0.25,0,0,16.6,22137,6188.4,10674.921800182,24753.6,400,24753.6,18106.9,11850.4140647771,0
