"","client_id","district_id","birth_year","birth_month","birth_day","gender"
"1",1,18,1970,12,13,0
"2",2,1,1945,2,4,1
"3",3,1,1940,10,9,0
"4",4,5,1956,12,1,1
"5",5,5,1960,7,3,0
"6",6,12,1919,9,22,1
"7",7,15,1929,1,25,1
"8",8,51,1938,2,21,0
"9",9,60,1935,10,16,1
"10",10,57,1943,5,1,1
"11",11,57,1950,8,22,0
"12",12,40,1981,2,20,1
"13",13,54,1974,5,29,0
"14",14,76,1942,6,22,0
"15",15,21,1918,8,28,0
"16",16,21,1919,2,25,1
"17",17,76,1934,10,13,1
"18",18,76,1931,4,5,0
"19",19,47,1942,12,28,1
"20",20,46,1979,1,4,1
"21",21,12,1952,10,29,0
"22",22,1,1969,10,11,0
"23",23,1,1973,5,29,1
"24",24,43,1939,7,29,0
"25",25,21,1939,4,23,0
"26",26,74,1969,4,20,0
"27",27,54,1966,3,26,0
"28",28,1,1945,9,29,1
"29",29,30,1951,9,11,0
"30",30,74,1957,10,9,0
"31",31,68,1962,2,9,1
"32",32,52,1980,7,28,1
"33",33,73,1948,12,4,0
"34",36,7,1978,7,17,0
"35",37,7,1970,8,10,1
"36",38,36,1973,7,23,0
"37",39,68,1968,1,25,1
"38",40,5,1957,1,22,0
"39",41,22,1968,8,27,1
"40",42,68,1935,8,17,1
"41",43,75,1920,10,28,1
"42",44,38,1977,1,11,0
"43",45,20,1952,8,26,1
"44",46,19,1940,1,30,0
"45",47,76,1934,7,14,1
"46",48,16,1940,2,9,1
"47",49,72,1959,5,11,0
"48",50,39,1978,7,30,0
"49",51,36,1979,12,2,0
"50",52,32,1924,12,12,1
"51",53,64,1977,5,5,1
"52",55,45,1948,9,18,0
"53",56,21,1960,3,31,1
"54",57,21,1961,12,17,0
"55",58,1,1927,4,29,0
"56",59,1,1957,2,18,1
"57",60,67,1980,2,19,1
"58",61,16,1948,8,6,0
"59",62,77,1932,12,8,1
"60",63,4,1959,6,4,1
"61",64,20,1926,4,22,1
"62",65,50,1943,5,27,0
"63",66,1,1951,11,10,0
"64",67,29,1932,11,11,0
"65",68,43,1946,12,14,1
"66",70,70,1925,12,22,1
"67",71,70,1927,2,6,0
"68",72,47,1923,1,13,1
"69",73,22,1924,2,20,1
"70",74,22,1925,7,26,0
"71",75,64,1977,9,19,0
"72",76,36,1967,10,1,0
"73",77,1,1956,2,18,0
"74",78,16,1944,6,13,0
