"","disp_id","client_id","account_id","n_clients"
"1",1,1,1,1
"2",2,2,2,2
"3",4,4,3,2
"4",6,6,4,1
"5",7,7,5,1
"6",8,8,6,1
"7",9,9,7,1
"8",10,10,8,2
"9",12,12,9,1
"10",13,13,10,1
"11",14,14,11,1
"12",15,15,12,2
"13",17,17,13,2
"14",19,19,14,1
"15",20,20,15,1
"16",21,21,16,1
"17",22,22,17,2
"18",24,24,18,1
"19",25,25,19,1
"20",26,26,20,1
"21",27,27,21,1
"22",28,28,22,1
"23",29,29,23,1
"24",30,30,24,1
"25",31,31,25,1
"26",32,32,26,1
"27",33,33,27,1
"28",36,36,29,2
"29",38,38,30,1
"30",39,39,31,1
"31",40,40,32,1
"32",41,41,33,1
"33",42,42,34,1
"34",43,43,35,1
"35",44,44,36,1
"36",45,45,37,1
"37",46,46,38,1
"38",47,47,39,1
"39",48,48,40,1
"40",49,49,41,1
"41",50,50,42,1
"42",51,51,43,1
"43",52,52,44,1
"44",53,53,45,1
"45",55,55,47,1
"46",56,56,48,2
"47",58,58,49,1
"48",59,59,50,1
"49",60,60,51,1
"50",61,61,52,1
"51",62,62,53,1
"52",63,63,54,1
"53",64,64,55,1
"54",65,65,56,1
"55",66,66,57,1
"56",67,67,58,1
"57",68,68,59,1
"58",70,70,61,2
"59",72,72,62,1
"60",73,73,63,2
"61",75,75,64,1
"62",76,76,65,1
"63",77,77,66,1
"64",78,78,67,1
"65",79,79,68,1
"66",80,80,69,1
"67",81,81,70,2
"68",83,83,71,2
"69",85,85,72,2
"70",87,87,73,1
"71",89,89,75,1
"72",90,90,76,1
"73",91,91,77,1
"74",92,92,78,1
"75",93,93,79,1
"76",94,94,80,2
"77",96,96,81,1
"78",97,97,82,1
"79",98,98,83,2
"80",100,100,84,1
"81",101,101,85,1
"82",102,102,86,2
"83",105,105,88,1
"84",106,106,89,1
"85",107,107,90,1
"86",108,108,91,1
"87",110,110,93,1
"88",112,112,95,2
"89",114,114,96,2
"90",116,116,97,2
"91",118,118,98,2
"92",120,120,99,1
"93",121,121,100,1
"94",122,122,101,1
"95",123,123,102,1
"96",124,124,103,1
"97",125,125,104,2
"98",127,127,105,1
"99",128,128,106,1
"100",129,129,107,1
"101",130,130,108,1
"102",131,131,109,1
"103",132,132,110,1
"104",134,134,112,2
"105",136,136,113,1
"106",137,137,114,1
"107",138,138,115,1
"108",139,139,116,2
"109",141,141,117,1
"110",142,142,118,1
"111",143,143,119,1
"112",144,144,120,1
"113",145,145,121,1
"114",146,146,122,1
"115",147,147,123,2
"116",149,149,124,1
"117",150,150,125,1
"118",151,151,126,1
"119",152,152,127,1
"120",153,153,128,1
"121",154,154,129,2
"122",156,156,130,1
"123",157,157,131,1
"124",158,158,132,2
"125",160,160,133,1
"126",161,161,134,1
"127",162,162,135,1
"128",163,163,136,1
"129",164,164,137,1
"130",165,165,138,2
"131",167,167,139,1
"132",168,168,140,1
"133",169,169,141,2
"134",171,171,142,2
"135",173,173,143,1
"136",174,174,144,1
"137",175,175,145,1
"138",176,176,146,1
"139",178,178,148,1
"140",179,179,149,1
"141",180,180,150,1
"142",181,181,151,2
"143",183,183,152,2
"144",185,185,153,1
"145",186,186,154,1
"146",187,187,155,1
"147",188,188,156,1
"148",189,189,157,1
"149",190,190,158,2
"150",192,192,159,1
"151",193,193,160,1
"152",194,194,161,1
"153",195,195,162,2
"154",197,197,163,1
"155",198,198,164,1
"156",199,199,165,2
"157",201,201,166,1
"158",202,202,167,1
"159",203,203,168,2
"160",205,205,169,1
"161",206,206,170,1
"162",207,207,171,1
"163",208,208,172,2
"164",210,210,173,2
"165",212,212,174,1
"166",215,215,176,1
"167",216,216,177,1
"168",217,217,178,1
"169",218,218,179,1
"170",219,219,180,1
"171",221,221,181,1
"172",222,222,182,1
"173",223,223,183,1
"174",224,224,184,1
"175",225,225,185,1
"176",226,226,186,1
"177",227,227,187,1
"178",228,228,188,1
"179",229,229,189,1
"180",230,230,190,1
"181",231,231,191,1
"182",232,232,192,1
"183",233,233,193,2
"184",235,235,194,1
"185",236,236,195,2
"186",238,238,196,1
"187",239,239,197,1
"188",240,240,198,1
"189",241,241,199,1
"190",242,242,200,1
"191",243,243,201,1
"192",246,246,204,1
"193",247,247,205,1
"194",248,248,206,2
"195",250,250,207,1
"196",251,251,208,1
"197",252,252,209,1
"198",253,253,210,1
"199",254,254,211,1
"200",255,255,212,1
"201",256,256,213,1
"202",257,257,214,2
"203",259,259,215,2
"204",261,261,216,1
"205",262,262,217,1
"206",263,263,218,1
"207",264,264,219,1
"208",265,265,220,1
"209",266,266,221,1
"210",267,267,222,1
"211",268,268,223,1
"212",269,269,224,1
"213",270,270,225,2
"214",272,272,226,1
"215",273,273,227,1
"216",274,274,228,1
"217",275,275,229,1
"218",276,276,230,2
"219",278,278,231,2
"220",280,280,232,1
"221",282,282,234,2
"222",284,284,235,1
"223",285,285,236,2
"224",287,287,237,1
"225",288,288,238,1
"226",289,289,239,1
"227",290,290,240,2
"228",292,292,241,1
"229",293,293,242,1
"230",294,294,243,1
"231",295,295,244,1
"232",296,296,245,1
"233",297,297,246,2
"234",300,300,248,1
"235",301,301,249,1
"236",302,302,250,1
"237",303,303,251,1
"238",304,304,252,1
"239",305,305,253,1
"240",308,308,255,1
"241",309,309,256,1
"242",310,310,257,1
"243",311,311,258,1
"244",312,312,259,1
"245",313,313,260,2
"246",315,315,261,1
"247",316,316,262,1
"248",317,317,263,1
"249",318,318,264,1
"250",319,319,265,2
"251",321,321,266,1
"252",322,322,267,2
"253",324,324,268,1
"254",325,325,269,1
"255",326,326,270,2
"256",328,328,271,1
"257",329,329,272,1
"258",330,330,273,1
"259",331,331,274,1
"260",332,332,275,1
"261",333,333,276,1
"262",334,334,277,1
"263",335,335,278,1
"264",336,336,279,2
"265",338,338,280,1
"266",339,339,281,2
"267",341,341,282,2
"268",343,343,283,1
"269",344,344,284,1
"270",345,345,285,2
"271",347,347,286,2
"272",349,349,287,1
"273",350,350,288,1
"274",351,351,289,1
"275",352,352,290,1
"276",353,353,291,1
"277",354,354,292,2
"278",356,356,293,2
"279",358,358,294,1
"280",359,359,295,1
"281",360,360,296,1
"282",361,361,297,1
"283",362,362,298,2
"284",364,364,299,1
"285",365,365,300,2
"286",367,367,301,2
"287",369,369,302,1
"288",370,370,303,1
"289",371,371,304,1
"290",372,372,305,1
"291",373,373,306,1
"292",374,374,307,1
"293",375,375,308,1
"294",376,376,309,1
"295",378,378,311,2
"296",380,380,312,1
"297",381,381,313,2
"298",383,383,314,2
"299",385,385,315,1
"300",386,386,316,1
"301",387,387,317,1
"302",388,388,318,1
"303",389,389,319,1
"304",390,390,320,1
"305",391,391,321,1
"306",392,392,322,2
"307",394,394,323,2
"308",396,396,324,1
"309",397,397,325,1
"310",398,398,326,1
"311",399,399,327,1
"312",400,400,328,2
"313",402,402,329,1
"314",403,403,330,2
"315",405,405,331,1
"316",406,406,332,1
"317",407,407,333,1
"318",408,408,334,1
"319",409,409,335,1
"320",410,410,336,1
"321",411,411,337,2
"322",413,413,338,1
"323",414,414,339,2
"324",416,416,340,2
"325",418,418,341,1
"326",419,419,342,1
"327",420,420,343,1
"328",421,421,344,1
"329",422,422,345,1
"330",423,423,346,1
"331",424,424,347,1
"332",425,425,348,1
"333",426,426,349,2
"334",428,428,350,1
"335",429,429,351,1
"336",430,430,352,1
"337",431,431,353,1
"338",432,432,354,1
"339",433,433,355,1
"340",434,434,356,1
"341",435,435,357,1
"342",436,436,358,1
"343",437,437,359,1
"344",438,438,360,1
"345",439,439,361,1
"346",440,440,362,1
"347",441,441,363,1
"348",442,442,364,2
"349",444,444,365,1
"350",445,445,366,2
"351",447,447,367,1
"352",448,448,368,1
"353",450,450,370,1
"354",451,451,371,1
"355",452,452,372,1
"356",453,453,373,1
"357",454,454,374,1
"358",455,455,375,1
"359",456,456,376,1
"360",457,457,377,1
"361",458,458,378,1
"362",459,459,379,1
"363",461,461,381,1
"364",462,462,382,1
"365",463,463,383,1
"366",464,464,384,1
"367",465,465,385,1
"368",466,466,386,2
"369",468,468,387,1
"370",469,469,388,1
"371",470,470,389,1
"372",471,471,390,1
"373",472,472,391,1
"374",473,473,392,1
"375",474,474,393,1
"376",476,476,395,2
"377",478,478,396,1
"378",479,479,397,2
"379",481,481,398,2
"380",483,483,399,1
"381",484,484,400,1
"382",485,485,401,1
"383",486,486,402,1
"384",487,487,403,2
"385",489,489,404,1
"386",490,490,405,1
"387",491,491,406,1
"388",492,492,407,1
"389",493,493,408,1
"390",494,494,409,1
"391",495,495,410,1
"392",496,496,411,1
"393",497,497,412,2
"394",499,499,413,1
"395",500,500,414,1
"396",501,501,415,1
"397",502,502,416,1
"398",503,503,417,1
"399",504,504,418,1
"400",505,505,419,1
"401",506,506,420,1
"402",507,507,421,1
"403",508,508,422,1
"404",509,509,423,1
"405",510,510,424,1
"406",511,511,425,1
"407",512,512,426,1
"408",513,513,427,2
"409",515,515,428,2
"410",517,517,429,1
"411",518,518,430,1
"412",519,519,431,1
"413",520,520,432,1
"414",521,521,433,1
"415",522,522,434,1
"416",523,523,435,1
"417",524,524,436,2
"418",526,526,437,2
"419",528,528,438,1
"420",529,529,439,1
"421",530,530,440,1
"422",531,531,441,2
"423",533,533,442,1
"424",534,534,443,1
"425",535,535,444,1
"426",536,536,445,1
"427",537,537,446,1
"428",538,538,447,1
"429",540,540,449,2
"430",542,542,450,1
"431",543,543,451,1
"432",544,544,452,1
"433",545,545,453,1
"434",546,546,454,1
"435",547,547,455,1
"436",548,548,456,1
"437",550,550,458,1
"438",551,551,459,1
"439",552,552,460,2
"440",554,554,461,2
"441",556,556,462,1
"442",557,557,463,1
"443",558,558,464,1
"444",559,559,465,1
"445",560,560,466,1
"446",561,561,467,1
"447",562,562,468,1
"448",563,563,469,2
"449",565,565,470,1
"450",566,566,471,2
"451",568,568,472,1
"452",569,569,473,1
"453",570,570,474,1
"454",571,571,475,2
"455",573,573,476,1
"456",574,574,477,1
"457",575,575,478,2
"458",577,577,479,1
"459",578,578,480,1
"460",579,579,481,1
"461",581,581,483,1
"462",582,582,484,1
"463",583,583,485,1
"464",584,584,486,1
"465",585,585,487,2
"466",587,587,488,1
"467",588,588,489,1
"468",589,589,490,1
"469",590,590,491,1
"470",591,591,492,1
"471",592,592,493,1
"472",593,593,494,1
"473",596,596,496,1
"474",597,597,497,1
"475",598,598,498,2
"476",601,601,500,2
"477",603,603,501,1
"478",604,604,502,1
"479",605,605,503,1
"480",606,606,504,1
"481",607,607,505,1
"482",608,608,506,1
"483",609,609,507,1
"484",610,610,508,1
"485",611,611,509,2
"486",613,613,510,1
"487",614,614,511,1
"488",615,615,512,1
"489",616,616,513,1
"490",617,617,514,1
"491",618,618,515,1
"492",619,619,516,2
"493",621,621,517,1
"494",622,622,518,1
"495",623,623,519,2
"496",625,625,520,1
"497",626,626,521,1
"498",627,627,522,2
"499",629,629,523,1
"500",630,630,524,1
"501",631,631,525,1
"502",632,632,526,2
"503",635,635,528,2
"504",637,637,529,1
"505",638,638,530,1
"506",639,639,531,1
"507",640,640,532,1
"508",641,641,533,2
"509",643,643,534,1
"510",644,644,535,1
"511",645,645,536,1
"512",646,646,537,2
"513",648,648,538,1
"514",649,649,539,1
"515",651,651,540,1
"516",652,652,541,1
"517",653,653,542,1
"518",654,654,543,1
"519",655,655,544,1
"520",656,656,545,1
"521",657,657,546,2
"522",659,659,547,1
"523",660,660,548,2
"524",662,662,549,1
"525",663,663,550,1
"526",664,664,551,1
"527",665,665,552,1
"528",666,666,553,1
"529",667,667,554,1
"530",668,668,555,1
"531",669,669,556,1
"532",670,670,557,1
"533",671,671,558,1
"534",672,672,559,1
"535",673,673,560,1
"536",674,674,561,1
"537",675,675,562,1
"538",676,676,563,1
"539",677,677,564,1
"540",678,678,565,1
"541",679,679,566,2
"542",681,681,567,1
"543",682,682,568,1
"544",683,683,569,1
"545",684,684,570,1
"546",685,685,571,1
"547",686,686,572,2
"548",688,688,573,1
"549",689,689,574,1
"550",690,690,575,2
"551",692,692,576,2
"552",694,694,577,1
"553",695,695,578,2
"554",697,697,579,1
"555",698,698,580,1
"556",699,699,581,1
"557",700,700,582,1
"558",702,702,584,1
"559",703,703,585,1
"560",704,704,586,1
"561",705,705,587,1
"562",706,706,588,1
"563",707,707,589,1
"564",708,708,590,1
"565",709,709,591,1
"566",710,710,592,1
"567",711,711,593,1
"568",712,712,594,1
