"","loan_id","account_id","amount","duration","payments","status","loan_year","loan_month","loan_day"
"1",5314,1787,96396,12,8033,-1,1993,7,5
"2",5316,1801,165960,36,4610,1,1993,7,11
"3",6863,9188,127080,60,2118,1,1993,7,28
"4",5325,1843,105804,36,2939,1,1993,8,3
"5",7240,11013,274740,60,4579,1,1993,9,6
"6",6687,8261,87840,24,3660,1,1993,9,13
"7",7284,11265,52788,12,4399,1,1993,9,15
"8",6111,5428,174744,24,7281,-1,1993,9,24
"9",7235,10973,154416,48,3217,1,1993,10,13
"10",5997,4894,117024,24,4876,1,1993,11,4
"11",7121,10364,21924,36,609,1,1993,11,10
"12",6077,5270,79608,24,3317,1,1993,11,22
"13",6228,6034,464520,60,7742,-1,1993,12,1
"14",6356,6701,95400,36,2650,1,1993,12,8
"15",5523,2705,93888,36,2608,1,1993,12,8
"16",6456,7123,47016,12,3918,1,1993,12,9
"17",7104,10320,259740,60,4329,1,1993,12,13
"18",6820,9034,38148,12,3179,1,1993,12,16
"19",6876,9236,86616,12,7218,1,1993,12,21
"20",7097,10266,75624,24,3151,-1,1993,12,23
"21",4959,2,80952,24,3373,1,1994,1,5
"22",6499,7401,80952,24,3373,1,1994,1,5
"23",5479,2486,24516,12,2043,1,1994,1,10
"24",5170,1071,253200,60,4220,1,1994,1,20
"25",6721,8475,21072,24,878,1,1994,1,21
"26",7259,11111,108144,36,3004,1,1994,1,31
"27",5285,1603,78936,12,6578,1,1994,2,6
"28",5189,1166,149040,48,3105,1,1994,2,7
"29",6650,8073,49320,12,4110,-1,1994,2,17
"30",7226,10940,197748,36,5493,1,1994,2,23
"31",6087,5313,300660,60,5011,1,1994,2,27
"32",7262,11135,182628,36,5073,1,1994,3,1
"33",5519,2694,91632,12,7636,1,1994,3,8
"34",6577,7753,51696,24,2154,1,1994,3,11
"35",6509,7445,55368,24,2307,1,1994,3,15
"36",6520,7485,91200,24,3800,1,1994,3,16
"37",6699,8330,7656,24,319,1,1994,3,30
"38",6336,6555,212400,36,5900,1,1994,3,31
"39",7055,10079,167100,60,2785,1,1994,4,6
"40",6103,5385,149340,60,2489,1,1994,4,7
"41",6202,5891,65184,12,5432,1,1994,4,18
"42",7066,10131,215388,36,5983,-1,1994,5,2
